stype,rt,diff,correct
2,2322.1,1,0
2,975.33,2,0
2,2558.2,2,1
2,1045.2,3,1
2,1097.2,3,1
2,1297.3,0,1
2,1402.1,1,1
2,1520.2,2,1
2,1472.3,1,0
2,978.21,2,1
2,1408.2,1,1
2,917.16,1,1
2,909.23,3,0
2,927.25,1,0
2,846.16,0,1
2,1105.1,1,1
2,1147.3,2,0
2,1114.2,3,1
2,1169.2,2,0
2,1049.2,3,1
2,1188.2,2,1
2,1121.2,3,1
2,864.14,3,1
2,795.14,3,0
2,881.14,3,1
2,779.22,0,0
2,1912.2,3,1
2,1457.2,2,1
2,1100.2,3,1
2,1061.1,1,0
2,2079.2,3,1
2,1145.2,3,1
2,1257.2,3,1
2,963.25,3,1
2,1674.2,1,1
2,1563.3,1,1
2,1562.3,1,1
2,953.23,0,1
2,823.17,0,1
2,1236.2,1,1
2,1151.2,3,1
2,1182.2,2,0
2,1564.2,1,1
2,811.17,0,1
2,1472.2,2,1
2,786.26,0,1
2,1503.2,1,1
2,1080.1,2,1
2,1362.3,2,1
2,937.24,3,1
2,1655.2,2,0
2,1258.2,2,1
2,870.23,3,1
2,1056.3,3,1
2,1171.2,1,1
2,784.25,0,1
2,790.25,0,1
2,1108.2,1,1
2,1101.2,1,0
2,1375.2,1,0
2,1013.8,0,1
2,898.22,0,1
2,987.16,2,1
2,760.22,3,1
2,767.17,2,0
2,1102.2,1,1
2,751.18,0,1
2,1574.2,3,1
2,1011.2,1,1
2,1352.3,2,1
2,1375.2,1,1
2,853.16,0,1
2,1001.2,3,1
2,1141.2,2,1
2,1500.2,1,1
2,1006.2,1,1
2,1194.2,3,1
2,1512.3,1,1
2,1217.2,1,1
2,1116.2,1,1
2,949.4,3,0
2,1605.4,1,0
2,1313.2,2,1
2,2010.2,3,1
2,950.22,3,1
2,1414.3,2,0
2,1250.2,3,1
2,1317.2,1,0
2,1030.2,3,1
2,1042.2,1,0
2,1364.2,1,1
2,1723.2,2,1
2,1219.3,1,1
2,776.28,0,1
2,1182.2,2,0
2,1507.2,3,1
2,1340.2,1,1
2,1396.3,1,0
2,1449.2,3,1
2,1580.3,1,1
2,1322.2,3,1
2,1722.2,2,1
2,1378.2,3,1
2,1104.3,0,1
2,1577.3,2,1
2,1215.2,3,1
2,1235.2,3,1
2,1439.1,3,1
2,1314.3,2,0
2,1147.2,3,1
2,1058.4,3,1
2,941.18,1,0
2,1596.2,1,1
2,1586.3,3,0
2,1224.2,3,1
2,1508.2,2,0
2,1652.2,1,1
2,1360.2,2,0
2,766.14,3,1
2,1036.2,1,0
2,1128.2,3,1
2,824.22,3,1
2,1020.1,2,1
2,1072.2,3,1
2,1434.3,3,1
2,1014.1,2,0
2,1395.2,2,1
2,735.24,0,1
2,999.29,2,1
2,724.25,0,1
2,1020.2,1,1
2,1057.2,2,1
2,748.28,0,1
2,762.26,0,1
2,1097.2,2,1
2,874.13,3,1
