rt,diff,correct
1214.5,1,0
2360.3,1,1
1015.3,0,1
924.23,0,1
772.15,3,1
681.18,3,1
779.16,3,1
841.15,2,1
941.15,3,1
733.22,1,0
1276.2,2,1
726.13,1,0
807.24,3,1
1067.3,2,1
814.16,2,0
2026.2,2,1
1006.2,0,1
1091.3,3,0
1532.3,1,0
1021.2,2,1
929.17,1,1
1241.2,1,1
948.25,1,0
1163.2,2,1
962.12,2,1
752.23,3,1
848.11,1,1
818.19,0,1
791.26,3,1
1028.2,2,1
768.25,0,1
895.16,1,1
1057.2,1,1
770.22,3,1
713.26,2,0
738.12,2,1
1258.2,2,0
772.23,3,1
746.17,0,1
666.15,1,1
804.12,3,1
745.21,1,1
625.26,3,0
676.15,2,0
927.19,1,1
1471.3,0,1
929.16,1,0
841.15,2,1
973.15,1,1
1099.3,2,0
845.25,1,1
911.14,2,1
1064.2,1,1
1283.3,2,1
1149.2,2,1
828.14,1,0
1288.2,1,1
1025.3,2,1
925.25,3,1
829.16,3,0
3999.2,3,1
1501.3,2,1
1398.3,2,0
931.12,1,0
1075.1,0,0
1077.2,3,1
783.29,0,1
1084.2,1,0
782.16,1,1
852.25,1,0
1166.2,1,1
949.17,2,0
797.17,2,0
1131.2,2,0
2186.2,2,1
1552.2,2,1
767.18,0,1
1142.3,3,1
996.24,3,1
1138.1,3,1
961.17,1,1
784.23,3,1
958.17,1,0
748.17,2,0
1413.2,3,0
1745.3,2,1
2807.3,1,0
3053.2,1,1
1120.2,3,1
872.15,3,1
754.15,3,1
1121.2,3,0
1290.2,2,1
1827.3,1,1
1070.1,3,1
2433.2,1,0
1341.2,1,1
1548.3,3,0
1587.2,1,1
1601.2,1,0
1391.2,3,1
932.22,1,1
532.11,3,0
1188.2,3,1
1154.2,3,1
905.25,3,1
1273.2,3,1
1011.3,3,0
1504.2,2,0
529.13,2,0
1249.3,2,0
2141.3,2,1
853.21,0,1
3407.4,1,0
988.26,3,1
890.13,3,1
1092.1,1,1
876.15,2,1
782.19,3,1
1796.2,2,0
2416.9,3,0
1086.2,1,1
2055.3,1,0
1818.2,1,0
1311.2,1,0
