rt,diff,correct
1196.1,3,1
1031.3,2,0
844.16,1,1
1062.2,2,1
905.26,3,1
1138.2,1,1
1001.2,2,1
846.13,3,1
977.24,2,0
863.24,2,1
834.16,0,1
1277.1,1,1
872.22,2,1
913.22,2,1
1074.2,3,1
1084.2,2,1
846.25,0,1
1073.2,2,0
1379.2,3,1
993.13,2,1
943.24,3,1
1102.2,1,1
871.2,3,1
1032.2,3,1
981.15,3,1
866.15,2,1
909.15,2,1
853.14,1,1
793.24,0,1
989.2,1,1
1011.2,3,1
823.19,2,1
1124.3,2,0
780.25,0,1
713.17,0,1
898.17,3,0
1131.2,2,1
915.22,2,1
1252.2,1,1
942.15,3,1
862.24,1,1
832.23,2,1
1076.2,3,0
814.14,2,1
1138.2,1,1
1097.2,3,1
1139.2,2,1
1114.2,2,1
1179.3,2,1
1392.1,1,0
2270.2,2,1
1712.3,1,1
865.25,0,1
898.21,3,1
1348.1,3,0
1059.2,2,1
982.1,2,0
988.12,1,1
1281.2,2,1
771.16,0,1
1437.1,3,1
1073.2,2,1
1347.2,1,1
1235.1,3,1
1046.2,3,1
850.21,1,1
828.12,2,1
1176.1,2,1
1279.2,2,1
992.23,1,1
702.15,0,0
799.17,0,1
1372.2,1,1
1442.3,2,1
998.18,1,1
1107.2,1,1
1130.2,1,1
1290.2,3,1
1172.2,1,1
1186.1,3,1
983.2,3,1
964.17,2,0
1003.1,2,1
825.13,1,1
789.2,3,1
1570.3,1,1
927.16,0,1
960.17,3,1
935.22,2,1
1183.2,2,1
1076.2,1,1
1135.2,2,1
1110.2,1,1
863.2,2,1
873.15,1,1
1436.2,1,0
959.2,2,1
1630.2,1,1
1570.2,1,1
2497.2,2,0
2169.3,2,1
1024.2,2,0
1221.2,1,0
1201.1,1,1
1901.2,1,1
1671.3,3,0
802.18,0,1
1223.2,1,1
2195.3,1,0
913.25,0,1
1297.2,3,0
1074.2,3,1
1044.2,2,1
1024.1,3,0
1172.1,2,1
1354.2,3,1
1361.3,1,1
1251.2,3,1
1155.2,3,1
1186.2,2,1
1918.4,1,1
1279.2,1,1
1513.2,3,0
1393.2,3,1
1455.3,1,1
1810.3,2,1
1623.2,1,1
1155.2,3,1
1793.3,2,1
1719.3,2,1
1455.2,2,1
1354.1,2,0
945.24,3,1
1872.2,1,0
971.17,0,1
1001.2,1,1
2030.3,1,1
1562.3,1,1
1440.2,2,1
1427.2,3,1
1808.2,1,0
1045.2,2,0
1792.2,2,1
1486.2,1,1
912.26,0,1
2048.3,1,0
1652.1,2,1
1703.2,2,0
1191.2,1,1
1573.2,3,0
1188.2,1,0
1185.2,2,1
1358.2,1,1
965.25,2,1
804.18,0,1
976.19,2,1
1103.3,2,0
1016.2,3,0
1308.2,1,0
1509.2,3,1
1022.3,3,1
746.28,0,1
1217.2,3,1
909.13,3,1
1294.2,1,1
1471.2,2,1
1017.2,0,1
1261.1,3,1
937.21,2,1
1185.2,3,0
1054.1,3,1
1265.1,1,0
1092.2,2,1
1133.2,2,1
892.16,3,1
965.12,2,1
916.21,2,1
973.13,1,1
899.15,2,1
947.16,2,1
1266.1,2,0
1373.2,1,1
1131.2,1,0
1091.2,2,0
1029.2,3,1
1128.2,3,1
984.16,2,0
998.13,3,0
923.29,3,1
867.14,1,1
1046.2,1,0
985.23,2,1
1103.2,2,1
1016.2,2,1
1324.3,2,1
1436.2,1,1
1407.2,1,1
1108.2,2,1
1421.2,3,0
1322.2,3,1
1185.2,1,0
1359.2,1,0
1046.2,3,1
809.21,0,1
1150.3,1,0
1013.1,2,1
961.16,2,1
992.21,3,1
1285.3,2,1
887.3,0,1
880.16,3,0
1171.2,1,1
1480.2,1,1
890.26,3,1
1387.2,2,1
921.19,3,1
1481.3,3,1
1867.3,2,1
1236.3,1,1
1176.2,1,0
1055.2,3,0
889.16,2,1
827.18,0,1
1311.2,3,1
1384.3,2,1
1158.2,3,1
1124.2,2,1
1084.2,3,1
782.24,0,1
876.24,1,1
1045.3,1,1
1449.1,2,1
771.23,0,1
1034.2,3,1
1333.2,1,1
1029.2,1,1
1409.3,2,1
1054.1,1,1
960.14,2,1
1199.2,1,1
1309.7,3,0
1399.2,3,1
1067.2,3,1
1694.2,3,1
1175.2,3,1
1350.2,3,1
1221.1,2,1
808.17,2,1
1037.2,2,1
1313.3,1,1
929.18,3,1
1345.2,1,1
1097.2,2,0
1194.2,3,1
1111.2,1,1
1088.3,3,1
1369.2,1,1
1151.2,3,1
2774.2,1,0
1093.2,3,1
1462.2,3,0
1617.3,1,1
1397.2,3,1
1738.2,1,1
1418.3,2,1
2606.3,3,0
1515.2,1,1
1172.2,2,1
1738.2,2,1
1041.3,1,1
2220.2,2,0
2313.3,1,1
1929.3,3,0
2386.2,1,0
1968.2,2,0
2182.2,1,1
1372.3,2,0
1699.2,3,1
1459.1,2,1
1277.2,3,0
992.26,0,1
1686.3,3,0
2167.2,1,1
1453.2,1,0
1265.2,1,1
1372.2,1,1
1073.1,1,1
1451.2,2,1
1262.3,2,0
882.25,3,1
1251.3,2,0
1110.2,1,0
1303.3,3,1
1080.1,2,1
1289.2,1,1
1235.1,1,1
951.15,2,1
1190.3,2,1
1115.3,3,1
1195.2,2,1
1339.3,2,0
979.2,2,1
801.2,0,1
925.16,1,0
1118.3,1,0
1071.2,0,1
945.29,2,0
1312.2,0,1
1297.3,1,1
1066.3,3,1
1061.1,1,1
798.18,0,1
1092.3,2,1
1237.3,2,1
1025.2,2,1
1325.2,3,1
1268.2,3,1
1534.2,2,1
1094.1,3,1
840.2,0,1
851.25,2,0
1142.2,1,1
1933.2,1,1
1013.2,2,1
786.23,2,1
759.28,0,1
790.16,3,1
939.19,3,1
874.26,1,1
884.22,1,0
1023.2,3,1
1259.2,1,1
854.26,0,1
1248.3,2,0
1052.2,2,0
1134.2,3,1
998.23,2,1
1683.3,2,1
1190.2,2,1
1043.2,3,1
1071.3,3,1
2480.2,2,0
2179.2,3,0
1328.2,3,1
1984.3,1,0
1622.2,1,1
963.18,0,1
1137.2,2,1
1664.3,1,0
987.26,2,1
1265.2,2,1
916.17,2,1
763.28,0,1
794.22,0,1
1007.2,3,1
1036.2,3,1
824.18,0,1
940.19,3,1
938.27,2,1
1026.1,2,1
2195.6,1,1
1129.3,1,1
944.17,2,1
1416.2,1,1
1220.3,2,1
1360.3,1,1
847.2,0,1
914.13,2,1
842.22,1,0
1182.2,1,1
852.15,3,1
999.18,3,1
931.22,3,1
963.26,1,1
1042.2,2,0
982.2,2,1
1074.3,2,0
1053.2,3,0
833.26,0,1
1101.2,1,0
957.24,3,1
1084.2,2,1
926.18,2,1
926.17,2,1
1158.3,1,1
1212.3,2,0
1137.2,2,1
969.18,3,0
928.25,2,1
975.26,1,1
717.18,0,1
1030.2,3,0
1474.3,2,0
956.25,2,0
1155.2,3,1
1218.1,1,1
1006.2,1,0
1723.3,2,0
1379.1,1,1
1193.2,2,1
822.25,0,1
1426.3,2,1
974.15,2,1
1124.2,2,0
1357.3,1,0
1100.2,1,1
1005.1,2,1
1362.2,3,1
976.18,3,1
1350.3,3,1
1109.2,0,1
1606.2,3,0
1219.3,1,1
976.26,3,1
1397.2,3,1
1074.2,2,1
1276.3,1,1
887.22,2,1
912.17,2,1
1112.2,3,0
1918.7,1,1
856.26,3,0
1274.1,1,1
1076.2,1,1
1038.2,3,0
1218.2,1,1
1103.1,1,0
1447.1,1,0
1011.2,0,1
960.3,0,1
918.17,0,1
917.13,1,1
862.22,2,1
833.27,3,1
1229.2,2,1
1369.2,1,1
982.27,3,1
1068.2,3,1
1111.2,2,1
1111.2,1,0
1080.3,3,1
1257.3,1,0
812.18,0,1
1337.2,3,0
1520.2,1,0
1033.2,1,1
1085.2,1,1
1086.2,1,1
1088.3,3,1
1361.3,2,1
1056.1,3,1
