stype,rt,diff,correct
2,1345.1,2,1
2,1046.3,1,1
2,795.19,0,1
2,888.14,1,1
2,874.26,0,1
2,971.24,2,1
2,945.15,3,1
2,873.16,0,1
2,1131.2,2,1
2,907.26,3,1
2,924.16,2,1
2,1156.2,2,1
2,1035.3,2,1
2,847.22,3,1
2,866.18,1,1
2,788.16,3,1
2,745.22,2,1
2,1184.3,3,1
2,838.15,2,1
2,1098.2,2,0
2,1051.3,2,1
2,902.25,3,1
2,1038.2,1,0
2,1354.2,1,1
2,1057.2,2,1
2,1308.2,2,1
2,844.16,3,1
2,1392.1,1,1
2,1133.1,3,1
2,1157.2,2,0
2,2219.2,1,1
2,1376.2,3,1
2,1070.2,3,1
2,1521.3,1,0
2,2160.2,2,0
2,1720.2,3,1
2,1720.3,3,1
2,1601.2,3,1
2,1453.2,1,1
2,1209.1,2,0
2,1566.3,3,0
2,1037.3,0,1
2,896.2,2,1
2,1073.1,2,1
2,1131.3,1,0
2,1108.2,2,1
2,1299.2,1,1
2,1005.1,1,0
2,1322.3,1,1
2,1594.3,3,1
2,960.15,3,1
2,1166.2,3,1
2,1164.2,1,0
2,1203.2,1,1
2,904.13,3,1
2,1408.3,2,1
2,1173.2,3,0
2,1012.2,2,1
2,1088.1,3,1
2,1050.3,0,1
2,3554.9,3,0
2,1161.3,0,1
2,1288.2,1,1
2,1017.1,1,1
2,1374.2,2,1
2,1100.2,1,1
2,972.15,3,1
2,1347.2,2,0
2,1266.2,2,1
2,1101.2,3,0
2,1134.2,3,1
2,1037.2,2,1
2,1081.2,1,1
2,947.23,1,1
2,1490.2,3,0
2,1019.1,2,0
2,1008.2,2,1
2,1381.2,1,0
2,1442.2,2,0
2,1222.2,2,0
2,1683.3,1,1
2,1276.3,0,1
2,1030.2,1,1
2,986.15,3,1
2,1376.3,2,1
2,1422.3,2,1
2,1202.2,3,0
2,1167.3,1,0
2,1206.2,3,1
2,1651.3,3,1
2,1477.2,1,1
2,1175.1,1,1
2,1030.3,2,1
2,898.23,2,1
2,1051.2,3,1
2,1205.2,3,1
2,1010.2,3,1
2,1151.2,3,1
2,1094.1,3,1
2,1087.2,1,1
2,1161.3,2,1
2,1567.3,3,0
2,1030.2,1,1
2,1233.2,2,1
2,1278.2,1,0
2,1144.2,2,1
2,1215.2,2,1
2,1931.2,1,1
2,1435.2,3,1
2,1319.3,2,1
2,1175.2,2,1
2,997.16,3,1
2,930.24,2,0
2,1099.2,3,0
2,1083.2,0,1
2,973.13,3,1
2,1027.2,3,1
2,896.25,0,1
2,936.17,1,0
2,960.19,1,1
2,1598.6,1,1
2,1019.2,1,1
2,783.13,2,1
2,965.16,1,1
2,1020.2,3,0
2,880.16,3,1
2,1193.2,3,1
2,1351.2,2,1
2,1222.3,1,0
2,1074.2,1,0
2,1492.2,3,0
2,1102.2,2,1
2,1686.1,3,1
2,1368.3,2,1
2,1214.1,3,1
2,1619.2,2,0
2,1136.2,1,0
2,1703.3,0,1
2,1424.2,3,1
2,1340.2,2,1
2,1148.3,0,1
2,1739.3,3,1
2,1282.3,1,1
2,1636.2,3,1
2,1536.3,2,1
2,1376.3,3,1
2,1341.2,2,0
2,1085.2,2,1
2,1127.2,2,1
2,1103.2,3,1
2,1616.2,3,1
2,1244.2,0,1
2,703.25,2,1
2,1112.2,3,0
2,1593.3,2,1
2,1790.2,3,0
2,1540.3,1,1
2,2419.2,2,1
2,1439.2,2,1
2,1218.2,0,1
2,1359.3,1,1
2,1333.3,2,0
2,1709.2,3,1
2,1797.2,1,1
2,1803.3,2,1
2,1688.3,2,1
2,1265.2,2,1
2,1579.3,2,0
2,1474.2,3,1
2,1172.3,3,1
2,1154.1,1,1
2,2696.2,2,0
2,1474.3,1,1
2,2500.3,2,0
2,2532.2,2,1
2,981.17,0,1
2,1099.1,1,1
2,1172.2,2,1
2,1218.2,2,1
2,1317.2,1,1
2,1786.2,2,1
2,912.31,0,1
2,1231.2,3,1
2,1020.1,3,1
2,1216.3,3,1
2,1477.3,1,1
2,1574.2,1,0
2,1149.2,3,1
2,772.26,0,1
2,1098.3,1,0
2,1338.2,2,1
2,2346.2,3,0
2,1234.2,1,0
2,1382.3,2,1
2,1643.2,1,0
2,1279.2,3,1
2,1698.3,2,1
2,2115.3,1,0
2,1307.3,1,0
2,1493.2,3,0
2,1101.2,3,1
2,1510.2,1,1
2,1231.2,1,1
2,1099.2,1,1
2,916.26,0,1
2,1213.2,3,1
2,1280.2,1,1
2,1290.2,3,0
2,1316.2,1,1
2,1477.3,2,1
2,1277.2,0,1
2,1152.3,2,1
2,1679.3,2,1
2,2097.3,1,1
2,1090.1,1,1
2,963.18,0,1
2,858.24,2,0
2,1109.2,2,1
2,1334.3,2,0
2,893.18,0,1
2,1255.3,1,0
2,1066.2,2,0
2,1580.2,2,1
2,1882.2,3,1
2,1700.3,3,1
2,1741.3,3,1
2,1387.2,3,1
2,1209.2,3,0
2,1518.2,1,0
2,1055.3,2,0
2,2057.2,3,1
2,917.22,0,1
2,2021.2,3,1
2,1474.3,2,1
2,1498.2,1,0
2,1068.2,3,1
2,927.23,3,1
2,1263.3,3,0
2,1168.2,3,1
2,1575.2,1,1
2,2651.4,3,0
2,1119.3,3,1
2,1264.2,3,1
2,1163.3,0,1
2,1000.2,2,1
2,1253.2,3,0
2,881.17,0,1
2,1411.2,2,1
2,1799.3,2,0
2,1076.3,1,1
2,846.18,0,1
2,1194.2,3,0
2,1023.3,0,1
2,1107.3,3,1
2,2580.2,2,0
2,1242.3,3,1
