stype,rt,diff,correct
2,2260.4,2,1
2,1199.3,2,1
2,1072.2,3,1
2,1147.2,0,1
2,1061.2,3,0
2,1194.2,3,1
2,1114.2,0,1
2,1116.1,0,1
2,1316.2,2,1
2,1159.3,3,1
2,1071.2,3,0
2,1193.2,2,1
2,1274.2,1,1
2,1380.3,1,0
2,1151.2,3,1
2,1080.3,0,1
2,1199.2,2,1
2,1407.2,3,1
2,1350.1,1,0
2,1257.3,3,1
2,1082.3,0,1
2,1099.2,2,0
2,1184.2,0,1
2,1156.2,2,1
2,1738.2,1,1
2,1270.3,1,1
2,1063.2,2,0
2,1388.3,1,1
2,1132.2,1,1
2,1170.2,3,1
2,1168.2,3,1
2,1255.2,2,1
2,1529.3,1,1
2,1184.3,0,1
2,1473.2,1,1
2,1156.2,0,1
2,1266.3,1,0
2,1454.2,2,1
2,1147.1,1,1
2,1207.3,3,1
2,1347.2,1,1
2,1302.2,1,1
2,1272.2,1,1
2,1178.3,3,1
2,1180.2,1,0
2,1297.3,2,0
2,1142.1,1,0
2,1170.2,2,1
2,1199.2,2,1
2,1183.2,1,1
2,1162.2,1,1
2,1185.2,3,1
2,1170.2,3,1
2,2608.3,1,1
2,1175.2,3,1
2,1245.2,3,1
2,1177.2,2,0
2,1462.3,3,0
2,1161.1,2,1
2,1152.2,3,1
2,1889.7,2,1
2,1470.2,2,1
2,1369.2,1,1
2,1139.2,3,1
2,1167.2,1,1
2,1093.2,0,1
2,1210.1,2,1
2,1278.2,1,1
2,1295.2,1,0
2,1213.2,0,1
2,1177.3,3,1
2,1164.2,1,0
2,1267.2,1,1
2,1286.2,2,1
2,1298.2,3,0
2,1259.3,1,1
2,1200.2,2,1
2,1175.2,3,1
2,1396.2,1,1
2,1114.3,3,1
2,1195.2,3,1
2,1277.2,3,1
2,1181.2,2,1
2,1173.3,1,1
2,1180.1,2,1
2,1176.2,1,1
2,1293.2,3,1
2,1247.2,3,1
2,1277.2,2,1
2,1191.2,1,0
2,1176.3,0,1
2,1179.2,3,1
2,1175.2,1,1
2,1159.6,2,0
2,1356.3,3,1
2,1266.2,3,1
2,1286.2,2,1
2,1566.2,1,1
2,1277.3,3,1
2,1579.3,1,1
2,1240.1,3,1
2,1384.2,3,1
2,1170.2,1,1
2,1164.2,2,1
2,1269.2,3,1
2,1175.2,3,1
2,1276.2,2,1
2,1297.2,1,1
2,1150.2,2,1
2,1408.3,1,1
2,1167.2,3,1
2,1291.2,0,1
2,1161.1,3,1
2,1409.2,1,1
2,1168.2,2,1
2,1196.3,0,1
2,1351.2,1,1
2,1288.3,1,1
2,1287.3,2,1
2,1171.2,2,1
2,1980.7,2,1
2,2690.3,1,1
2,1478.1,1,1
2,1255.3,3,1
2,1909.2,2,0
2,1288.2,1,1
2,1324.2,3,1
2,1293.2,2,1
2,1297.1,2,1
2,1397.2,3,1
2,1371.2,2,1
2,1354.1,1,1
2,1164.2,2,1
2,1243.2,3,1
2,1190.2,0,1
2,1169.1,2,1
2,1375.2,2,1
2,1164.1,3,1
2,1176.2,2,1
2,1566.2,3,1
