rt,diff,correct
1123.2,2,1
824.18,2,0
1094.2,2,1
959.23,1,1
1038.1,2,1
913.18,0,1
1002.2,2,0
935.24,2,1
798.22,3,1
771.21,3,0
890.16,1,1
883.19,1,1
846.1,1,1
1128.1,2,1
792.14,2,0
686.21,0,1
760.15,3,1
870.16,3,1
768.17,0,1
814.22,3,1
827.2,0,1
855.14,2,1
1026.2,2,0
725.22,1,1
822.14,2,1
858.14,3,1
725.17,2,1
749.16,0,1
844.1,2,1
695.16,2,1
720.13,3,1
609.19,3,0
838.15,1,1
642.13,0,1
940.16,3,1
708.13,0,1
725.26,0,1
797.14,1,1
778.19,0,1
768.13,3,1
615.23,2,0
730.13,3,1
818.15,1,1
958.24,2,1
766.16,1,1
756.16,3,0
690.25,0,1
724.24,0,1
644.23,0,1
687.13,2,1
809.14,2,0
893.21,2,1
966.21,2,1
772.14,1,1
771.13,0,1
761.21,0,1
1207.2,1,1
851.14,3,1
1191.2,3,1
836.22,3,1
1119.3,3,1
1015.2,3,1
1099.2,1,1
941.25,1,1
836.15,3,1
952.15,3,1
742.25,0,1
1086.2,1,1
896.22,2,1
753.17,3,1
736.17,0,1
728.23,3,1
1160.2,1,1
1238.1,1,1
962.16,3,1
833.25,3,1
973.13,3,1
1051.2,1,1
894.18,2,1
743.26,0,1
798.26,3,1
1059.2,3,1
878.17,2,1
976.25,1,1
693.24,0,1
871.15,2,1
873.24,1,1
971.22,2,1
657.24,0,1
956.17,2,1
922.16,3,1
795.25,1,1
1160.5,2,1
911.15,2,1
919.16,2,1
1016.2,2,1
955.27,2,1
1090.1,1,1
836.18,2,1
1048.2,2,1
1011.1,3,1
1350.1,1,0
886.16,2,1
1208.3,1,1
1164.2,3,1
851.24,0,1
1005.2,2,1
1139.2,1,1
969.19,1,1
1168.1,1,1
1071.2,3,1
1265.2,3,0
850.23,3,1
926.16,1,0
806.15,2,1
987.2,2,0
912.18,1,0
777.2,3,1
847.12,2,1
971.2,1,0
1302.6,2,1
904.15,1,0
912.23,3,0
841.09,0,1
1141.1,1,1
1021.1,3,1
872.13,2,1
1010.2,1,0
888.13,1,1
985.18,3,1
871.14,3,1
840.22,1,1
1356.1,1,1
1099.1,3,1
756.14,0,1
1299.2,2,1
883.25,3,1
1037.2,3,1
881.13,3,1
763.26,3,1
778.15,0,1
992.19,2,1
1004.1,3,0
1105.1,2,0
835.24,3,1
1375.2,2,1
764.17,0,1
1114.3,3,1
755.16,0,1
1402.2,1,1
1351.2,1,1
1261.2,1,0
937.22,1,1
1008.1,1,0
958.12,0,1
1083.3,2,1
853.25,1,1
888.12,2,1
1066.2,3,1
956.24,1,1
1059.2,2,1
997.15,1,0
963.15,3,1
1041.2,1,1
805.24,2,0
834.19,1,1
869.14,1,0
744.24,0,1
903.18,3,1
1072.1,1,1
1410.1,1,1
943.27,0,1
926.14,1,0
903.14,2,1
1144.2,1,1
814.24,3,1
931.14,1,1
691.18,0,1
1300.2,1,1
1301.3,3,1
1325.7,2,1
894.13,0,1
1831.2,3,1
1451.3,1,0
1598.3,1,1
1235.2,2,1
806.16,3,1
947.16,3,1
1115.2,2,1
762.15,0,1
1648.2,1,1
852.15,3,1
791.1,2,1
685.14,0,1
789.23,3,1
1091.3,1,1
757.25,0,1
1211.1,1,1
848.18,3,1
987.18,1,1
1032.3,3,0
764.17,0,1
907.14,3,1
764.19,2,1
1370.2,1,1
792.11,3,1
1125.1,3,1
766.26,0,1
988.17,1,1
802.13,3,1
798.16,3,1
883.26,1,1
1093.2,2,1
1455.1,1,1
1274.1,3,1
820.28,0,1
911.23,1,1
1199.2,3,1
757.17,0,1
1236.3,2,1
992.15,3,1
1061.2,2,1
983.11,2,1
989.22,2,1
890.16,2,1
1204.1,2,1
849.16,3,1
795.25,3,1
873.17,3,1
1027.2,1,1
767.26,0,1
1093.2,2,1
1735.2,3,1
854.1,3,1
1041.1,2,1
1437.2,2,1
1216.3,2,1
1005.1,2,1
970.15,3,1
975.24,3,1
875.47,0,1
950.17,3,1
1012.2,2,1
984.26,3,1
942.26,2,1
869.08,3,1
872.16,0,1
1418.2,1,0
998.25,2,1
1275.1,2,0
814.12,2,1
802.15,3,1
759.12,3,1
829.16,1,1
1281.2,2,1
1091.3,0,1
804.23,0,1
1082.2,2,0
683.25,0,1
933.21,1,1
1052.2,1,0
1032.2,1,1
1331.1,2,0
1796.3,3,1
1081.3,3,1
1019.2,2,1
1551.2,2,0
990.25,1,0
1116.2,2,1
988.2,1,1
1217.2,2,0
1110.2,1,1
1487.3,2,0
785.19,0,1
1029.2,1,1
1082.2,3,1
2163.2,3,1
1282.1,1,0
995.16,2,1
1065.3,1,0
876.2,3,1
998.21,1,1
874.26,3,1
1052.3,1,1
935.17,2,1
919.25,2,1
871.25,2,1
1026.2,1,1
1189.3,1,1
795.18,2,1
824.26,3,1
1268.2,1,1
934.17,2,0
990.17,2,1
795.13,1,1
785.23,2,1
974.25,1,1
1157.2,2,1
1259.2,3,1
1261.2,2,0
1244.1,1,1
1056.2,1,1
1450.2,2,0
845.25,3,1
1201.2,1,1
718.18,0,1
1054.3,1,1
1176.2,3,1
959.26,1,1
829.14,2,0
778.17,3,1
840.25,2,1
667.26,0,1
805.13,2,1
730.18,0,1
946.17,3,0
857.31,1,1
1163.2,2,1
898.17,3,1
875.22,2,1
749.25,3,1
1052.2,1,1
950.26,3,1
1333.3,1,1
774.14,3,1
980.17,1,1
1442.2,3,1
973.16,3,1
1170.2,1,1
865.14,1,1
1051.2,2,1
918.16,2,1
711.19,0,1
928.16,3,1
759.19,0,1
886.25,1,1
848.27,3,1
931.2,1,1
979.14,2,1
809.22,3,1
933.27,1,0
1036.2,1,1
872.25,1,1
971.25,3,1
1048.3,3,1
883.18,2,1
1517.2,3,1
